name,category_list,market,funding_total_usd,status,country_code,city,funding_rounds,founded_at,first_funding_at,last_funding_at,venture,debt_financing,private_equity,stage_level,early_stage_funding,log_funding_total_usd,log_funding_rounds,log_early_stage_funding,log_venture,log_debt_financing,log_private_equity,Cluster
Xenith,|Manufacturing|, Manufacturing ,13200000.0,operating,USA,Lowell,2.0,,2011-02-28,2011-09-15,13200000.0,0.0,0.0,0,0.0,16.395727463314174,1.0986122886681098,0.0,16.395727463314174,0.0,0.0,0
Xenith Bank,|Banking|, Banking ,21000000.0,operating,USA,Richmond,1.0,2008-01-01,2014-10-03,2014-10-03,0.0,21000000.0,0.0,0,0.0,16.860033043306743,0.6931471805599453,0.0,0.0,16.860033043306743,0.0,1
Xenome,|Biotechnology|, Biotechnology ,22500000.0,closed,NOR,,3.0,,2005-04-06,2010-04-22,22500000.0,0.0,0.0,0,0.0,16.929025911619092,1.3862943611198906,0.0,16.929025911619092,0.0,0.0,0
Xenon Arc,|Information Services|B2B|Software|, Information Services ,27509998.0,operating,USA,Bellevue,2.0,2010-09-01,2010-12-20,2012-06-07,27509998.0,0.0,0.0,1,0.0,17.130060096550338,1.0986122886681098,0.0,17.130060096550338,0.0,0.0,3
XenoOne,|Social Media|Curated Web|, Curated Web ,3000000.0,closed,USA,New York,1.0,2006-12-15,2009-12-01,2009-12-01,0.0,0.0,0.0,0,3000000.0,14.914123179965662,0.6931471805599453,14.914123179965662,0.0,0.0,0.0,0
Xenoport,|Biotechnology|, Biotechnology ,20000000.0,operating,USA,Santa Clara,1.0,1999-01-01,2012-11-21,2012-11-21,20000000.0,0.0,0.0,0,0.0,16.811242881518265,0.6931471805599453,0.0,16.811242881518265,0.0,0.0,0
XenSource,|Software|, Software ,38000000.0,operating,USA,Palo Alto,3.0,2004-01-01,2005-01-13,2006-10-31,38000000.0,0.0,0.0,3,0.0,17.453096744006448,1.3862943611198906,0.0,17.453096744006448,0.0,0.0,3
Xention,|Biotechnology|, Biotechnology ,12700000.0,operating,GBR,Pampisford,1.0,,2010-11-24,2010-11-24,12700000.0,0.0,0.0,4,0.0,16.357112630168974,0.6931471805599453,0.0,16.357112630168974,0.0,0.0,3
Xercise4less,|Health and Wellness|, Health and Wellness ,11154290.0,operating,GBR,,2.0,2009-01-01,2013-08-27,2014-05-01,11154290.0,0.0,0.0,0,0.0,16.227334824886636,1.0986122886681098,0.0,16.227334824886636,0.0,0.0,0
Xerion Advanced Battery,|Hardware + Software|, Hardware + Software ,4029000.0,operating,USA,Westminster,2.0,2010-01-01,2012-08-07,2014-01-13,4029000.0,0.0,0.0,0,0.0,15.209029012374,1.0986122886681098,0.0,15.209029012374,0.0,0.0,0
Xeris Pharmaceuticals,|Biotechnology|, Biotechnology ,11074592.0,operating,USA,Austin,3.0,2005-01-01,2011-12-12,2014-09-29,8774592.0,2300000.0,0.0,2,0.0,16.22016412378453,1.3862943611198906,0.0,15.987370944474154,14.648420115681892,0.0,1
Xero,|Personal Finance|CRM|Collaboration|Banking|SaaS|Business Services|Billing|Finance|Accounting|Software|, Finance ,244195300.0,operating,NZL,Wellington,6.0,2006-07-01,2007-06-01,2013-10-13,82195300.0,0.0,150000000.0,0,0.0,19.3134788770315,1.9459101490553132,0.0,18.22460869294228,0.0,18.826145858727198,2
Xerographic Document Solutions,|Hardware + Software|, Hardware + Software ,5000000.0,operating,USA,Robbinsville,1.0,,2006-02-10,2006-02-10,5000000.0,0.0,0.0,0,0.0,15.424948670398354,0.6931471805599453,0.0,15.424948670398354,0.0,0.0,0
Xeros,|Clean Technology|, Clean Technology ,70241507.0,operating,,,3.0,2012-01-01,2010-11-08,2014-03-20,5646169.0,0.0,0.0,0,0.0,18.067449976308964,1.3862943611198906,0.0,15.546487997154538,0.0,0.0,0
Xeround,|Virtualization|Cloud Computing|Databases|Analytics|, Virtualization ,39800000.0,operating,USA,Bellevue,5.0,2005-03-01,2005-03-17,2012-10-15,35800000.0,4000000.0,0.0,4,0.0,17.499377495380294,1.791759469228055,0.0,17.393458479303888,15.201805169084134,0.0,1
Xetal,|Smart Building|Internet of Things|Technology|Health and Wellness|, Technology ,719427.0,operating,BEL,Bonheiden,1.0,2013-01-22,2013-01-22,2013-01-22,0.0,0.0,0.0,0,719427.0,13.48621173080957,0.6931471805599453,13.48621173080957,0.0,0.0,0.0,0
Xetawave,|Hardware + Software|, Hardware + Software ,7000000.0,operating,USA,Boulder,1.0,2010-01-01,2013-09-18,2013-09-18,7000000.0,0.0,0.0,1,0.0,15.76142084987672,0.6931471805599453,0.0,15.76142084987672,0.0,0.0,0
xF Technologies Inc.,|Clean Technology|, Clean Technology ,1500000.0,operating,USA,Albuquerque,1.0,2007-01-01,2012-06-12,2012-06-12,1500000.0,0.0,0.0,1,0.0,14.220976332738882,0.6931471805599453,0.0,14.220976332738882,0.0,0.0,0
Xfire,|Networking|Entertainment|Computers|Games|, Games ,7000000.0,acquired,USA,Santa Monica,2.0,2002-01-01,2011-08-06,2012-05-21,7000000.0,0.0,0.0,0,0.0,15.76142084987672,1.0986122886681098,0.0,15.76142084987672,0.0,0.0,0
Xfluential,|Curated Web|, Curated Web ,170000.0,operating,USA,San Diego,1.0,2012-03-01,2012-03-31,2012-03-31,0.0,0.0,0.0,0,170000.0,12.04355959836804,0.6931471805599453,12.04355959836804,0.0,0.0,0.0,0
XGear,|Automotive|, Automotive ,40000.0,operating,,,1.0,2013-07-01,2014-06-25,2014-06-25,0.0,0.0,0.0,0,40000.0,10.596659732783579,0.6931471805599453,10.596659732783579,0.0,0.0,0.0,0
XGIMI,|Manufacturing|Digital Media|High Tech|, High Tech ,16000000.0,operating,CHN,Chengdu,1.0,,2014-08-07,2014-08-07,16000000.0,0.0,0.0,1,0.0,16.588099342704055,0.6931471805599453,0.0,16.588099342704055,0.0,0.0,0
XGraph,|Analytics|, Analytics ,3750000.0,acquired,USA,New York,1.0,2008-10-01,2010-07-07,2010-07-07,3750000.0,0.0,0.0,1,0.0,15.137266664613225,0.6931471805599453,0.0,15.137266664613225,0.0,0.0,0
Xhale,|Biotechnology|, Biotechnology ,21160182.0,operating,USA,Gainesville,3.0,2005-01-01,2014-01-15,2014-07-22,20538182.0,0.0,0.0,3,622000.0,16.86763181331017,1.3862943611198906,13.340696979437066,16.837796297013274,0.0,0.0,3
Xi'an 029ZP.com,|Social Media|, Social Media ,146198.0,operating,,,1.0,,2009-03-01,2009-03-01,0.0,0.0,0.0,0,146198.0,11.892723986329143,0.6931471805599453,11.892723986329143,0.0,0.0,0.0,0
Xi3,|Hardware + Software|, Hardware + Software ,10570000.0,operating,USA,Salt Lake City,2.0,2010-08-31,2013-01-16,2014-02-20,0.0,10570000.0,0.0,0,0.0,16.173530452453797,1.0986122886681098,0.0,0.0,16.173530452453797,0.0,1
Xiam,|Web Development|Mobile|, Mobile ,1221900.0,acquired,IRL,Dublin,1.0,,2004-08-15,2004-08-15,1221900.0,0.0,0.0,1,0.0,14.015918400701857,0.6931471805599453,0.0,14.015918400701857,0.0,0.0,0
Xiami Music Network,|Curated Web|Algorithms|Music Services|Music|, Curated Web ,20292825.0,operating,CHN,Hangzhou,3.0,2007-11-17,2008-06-01,2013-01-01,20292825.0,0.0,0.0,2,0.0,16.82577798253709,1.3862943611198906,0.0,16.82577798253709,0.0,0.0,3
Xianguo,|Mobile|, Mobile ,10000000.0,operating,,,2.0,2006-01-01,2010-03-01,2011-09-01,8000000.0,0.0,0.0,2,2000000.0,16.118095750958314,1.0986122886681098,14.508658238524095,15.894952224644102,0.0,0.0,3
Xiangya Group,|Manufacturing|Health and Wellness|, Manufacturing ,40000000.0,operating,CHN,Shenzhen,2.0,2006-01-01,2010-03-01,2010-04-01,20000000.0,0.0,0.0,0,20000000.0,17.50439003707821,1.0986122886681098,16.811242881518265,16.811242881518265,0.0,0.0,0
Xiaomi,|Mobile|, Mobile ,347000000.0,operating,CHN,Beijing,4.0,2010-04-04,2010-12-01,2013-08-22,347000000.0,0.0,0.0,3,0.0,19.664835340792976,1.6094379124341003,0.0,19.664835340792976,0.0,0.0,3
XiaoSheng.fm,|Mobile|, Mobile ,162954.0,operating,,,1.0,2014-02-01,2014-03-01,2014-03-01,0.0,0.0,0.0,0,162954.0,12.00122936805393,0.6931471805599453,12.00122936805393,0.0,0.0,0.0,0
Xiaoyezi Technology,|Mobile|, Mobile ,162954.0,operating,CHN,,1.0,,2014-03-01,2014-03-01,0.0,0.0,0.0,0,162954.0,12.00122936805393,0.6931471805599453,12.00122936805393,0.0,0.0,0.0,0
Xiaoying,|Photography|, Photography ,815037.0,operating,CHN,,1.0,,2013-11-10,2013-11-10,0.0,0.0,0.0,0,815037.0,13.610990016902923,0.6931471805599453,13.610990016902923,0.0,0.0,0.0,0
Xiaozhu.com,|Real Estate|, Real Estate ,26600853.0,operating,CHN,Beijing,3.0,,2012-12-01,2014-06-17,26600853.0,0.0,0.0,2,0.0,17.096453878499723,1.3862943611198906,0.0,17.096453878499723,0.0,0.0,3
XIFIN,|Enterprise Software|SaaS|Software|, SaaS ,2000000.0,acquired,USA,San Diego,1.0,1997-01-01,2006-09-11,2006-09-11,2000000.0,0.0,0.0,4,0.0,14.508658238524095,0.6931471805599453,0.0,14.508658238524095,0.0,0.0,3
Xifra Business,|Technology|Web Hosting|, Technology ,476000.0,operating,ESP,Barcelona,1.0,2003-01-01,2005-07-05,2005-07-05,476000.0,0.0,0.0,0,0.0,13.073175234051686,0.6931471805599453,0.0,13.073175234051686,0.0,0.0,0
Xigen,|Biotechnology|, Biotechnology ,41000000.0,operating,CHE,Lausanne,2.0,2002-01-01,2005-09-06,2009-11-20,41000000.0,0.0,0.0,2,0.0,17.529082649058825,1.0986122886681098,0.0,17.529082649058825,0.0,0.0,3
Xignite,|Services|Cloud Data Services|Cloud Computing|Stock Exchanges|Finance|, Services ,16394816.0,operating,USA,San Mateo,3.0,2003-01-01,2009-11-13,2011-09-13,15719816.0,675000.0,0.0,2,0.0,16.612475806258974,1.3862943611198906,0.0,16.5704327036762,13.42246945133505,0.0,1
XIHA,|Search|Real Time|Photography|Private Social Networking|Networking|Language Learning|Games|, Language Learning ,1000000.0,operating,CHE,Zürich,1.0,2007-09-28,2010-01-26,2010-01-26,0.0,0.0,0.0,0,1000000.0,13.815511557963774,0.6931471805599453,13.815511557963774,0.0,0.0,0.0,0
Xiimo,|SaaS|Business Services|Small and Medium Businesses|World Domination|Sales and Marketing|Mobile|Promotional|Curated Web|, SaaS ,150000.0,operating,USA,San Francisco,1.0,2011-01-01,2012-11-15,2012-11-15,0.0,0.0,0.0,0,150000.0,11.918397239722838,0.6931471805599453,11.918397239722838,0.0,0.0,0.0,0
Xikota Devices,|Semiconductors|, Semiconductors ,960000.0,closed,USA,Waltham,1.0,,2007-11-27,2007-11-27,960000.0,0.0,0.0,1,0.0,13.774689605110144,0.6931471805599453,0.0,13.774689605110144,0.0,0.0,0
XillianTV,|Curated Web|, Curated Web ,800000.0,operating,,,1.0,,2007-10-01,2007-10-01,0.0,0.0,0.0,0,800000.0,13.592368256649284,0.6931471805599453,13.592368256649284,0.0,0.0,0.0,0
Ximalaya,|Mobile|, Mobile ,11500000.0,operating,CHN,Shanghai,1.0,2012-08-01,2014-05-22,2014-05-22,11500000.0,0.0,0.0,1,0.0,16.257857680289998,0.6931471805599453,0.0,16.257857680289998,0.0,0.0,0
XimoXi,|Mobile|, Mobile ,200000.0,operating,USA,Los Gatos,1.0,2008-04-01,2008-01-01,2008-01-01,0.0,0.0,0.0,0,200000.0,12.206077645517674,0.6931471805599453,12.206077645517674,0.0,0.0,0.0,0
XING,|Business Services|Contact Management|Networking|Social Media|, Business Services ,6844560.0,operating,DEU,Hamburg,2.0,2003-08-13,2004-05-01,2005-11-01,6844560.0,0.0,0.0,1,0.0,15.738964880243312,1.0986122886681098,0.0,15.738964880243312,0.0,0.0,0
Xingshuai Teach,|Education|, Education ,62400000.0,operating,,,1.0,2008-01-01,2014-08-20,2014-08-20,62400000.0,0.0,0.0,2,0.0,17.949075849365297,0.6931471805599453,0.0,17.949075849365297,0.0,0.0,3
Xinguodu,|Manufacturing|, Manufacturing ,3102904.0,operating,CHN,Shenzhen,2.0,,2008-06-01,2009-09-01,3102904.0,0.0,0.0,2,0.0,14.947849327428498,1.0986122886681098,0.0,14.947849327428498,0.0,0.0,3
Xingyun.cn,|Social Media|, Social Media ,8147446.0,operating,,,2.0,2012-01-01,2014-02-01,2014-08-27,6500000.0,0.0,0.0,1,1647446.0,15.913215184609793,1.0986122886681098,14.314737374886858,15.687312888712007,0.0,0.0,0
Xinhua Travel,|Travel|, Travel ,23000000.0,operating,CHN,Beijing,1.0,,2011-09-19,2011-09-19,23000000.0,0.0,0.0,1,0.0,16.951004817371683,0.6931471805599453,0.0,16.951004817371683,0.0,0.0,0
Xinrong,|Medical Devices|, Medical Devices ,100000000.0,operating,CHN,,1.0,2000-01-01,2014-09-29,2014-09-29,0.0,0.0,100000000.0,0,0.0,18.420680753952364,0.6931471805599453,0.0,0.0,0.0,18.420680753952364,2
XINTEC,|Mobile|, Mobile ,1130130.0,operating,IRL,Dublin,1.0,2007-01-01,2012-05-24,2012-05-24,1130130.0,0.0,0.0,0,0.0,13.937844113172792,0.6931471805599453,0.0,13.937844113172792,0.0,0.0,0
Xinyi Network,|Software|, Software ,1647446.0,operating,CHN,Shenzhen,1.0,,2014-02-01,2014-02-01,1647446.0,0.0,0.0,2,0.0,14.314737374886858,0.6931471805599453,0.0,14.314737374886858,0.0,0.0,3
Xiotech,|Web Hosting|, Web Hosting ,10000000.0,operating,USA,Eden Prairie,1.0,1995-01-01,2009-09-17,2009-09-17,10000000.0,0.0,0.0,0,0.0,16.118095750958314,0.6931471805599453,0.0,16.118095750958314,0.0,0.0,0
Xipin,|E-Commerce|, E-Commerce ,10000000.0,operating,CHN,,1.0,,2012-10-01,2012-10-01,10000000.0,0.0,0.0,1,0.0,16.118095750958314,0.6931471805599453,0.0,16.118095750958314,0.0,0.0,0
XipLink,|Drones|Mobile|, Drones ,1500000.0,operating,CAN,Montréal,1.0,1998-01-01,2014-02-26,2014-02-26,1500000.0,0.0,0.0,1,0.0,14.220976332738882,0.6931471805599453,0.0,14.220976332738882,0.0,0.0,0
XIPWIRE,|Messaging|SMS|Mobile Payments|Mobile|, SMS ,150000.0,operating,USA,Philadelphia,1.0,2009-12-01,2010-09-22,2010-09-22,150000.0,0.0,0.0,0,0.0,11.918397239722838,0.6931471805599453,0.0,11.918397239722838,0.0,0.0,0
Xirrus,|Cloud Management|Mobile|, Mobile ,105850000.0,,USA,Thousand Oaks,6.0,2004-01-01,2006-01-30,2014-04-28,105850000.0,0.0,0.0,6,0.0,18.47753356499248,1.9459101490553132,0.0,18.47753356499248,0.0,0.0,3
Xitronix,|Semiconductors|, Semiconductors ,200000.0,operating,USA,Austin,1.0,2003-01-01,2010-06-02,2010-06-02,0.0,200000.0,0.0,0,0.0,12.206077645517674,0.6931471805599453,0.0,0.0,12.206077645517674,0.0,1
Xiu.com,|E-Commerce|Fashion|, E-Commerce ,240000000.0,operating,CHN,Shenzhen,4.0,2008-03-24,2011-03-01,2011-08-18,120000000.0,0.0,120000000.0,2,0.0,19.29614948547293,1.6094379124341003,0.0,18.603002309079653,0.0,18.603002309079653,2
XIVE Group,|Retail|Small and Medium Businesses|Real Estate|, Retail ,20000.0,operating,IND,Hyderabad,1.0,,2013-09-13,2013-09-13,0.0,0.0,0.0,0,20000.0,9.90353755128617,0.6931471805599453,9.90353755128617,0.0,0.0,0.0,0
XiVero,|Embedded Hardware and Software|, Embedded Hardware and Software ,89948.0,operating,DEU,Düsseldorf,1.0,,2013-11-01,2013-11-01,0.0,0.0,0.0,0,89948.0,11.4069981220295,0.6931471805599453,11.4069981220295,0.0,0.0,0.0,0
xkoto,|Software|, Software ,11035000.0,closed,USA,Waltham,3.0,2005-01-01,2005-11-01,2009-01-26,11035000.0,0.0,0.0,3,0.0,16.216582688293723,1.3862943611198906,0.0,16.216582688293723,0.0,0.0,3
XL Group,|Public Relations|, Public Relations ,1480000.0,operating,FRA,Saint-Étienne-vallée-française,1.0,1986-01-01,2008-01-01,2008-01-01,1480000.0,0.0,0.0,1,0.0,14.207553321415745,0.6931471805599453,0.0,14.207553321415745,0.0,0.0,0
XL Hybrids,|Clean Technology|, Clean Technology ,11400000.0,operating,USA,Boston,3.0,2008-01-01,2011-01-14,2013-12-10,8400000.0,3000000.0,0.0,2,0.0,16.249124001084017,1.3862943611198906,0.0,15.943742382861155,14.914123179965662,0.0,1
XL Video,|Hardware + Software|, Hardware + Software ,27388500.0,operating,BEL,Gentbrugge,1.0,,2011-08-01,2011-08-01,27388500.0,0.0,0.0,0,0.0,17.12563381173871,0.6931471805599453,0.0,17.12563381173871,0.0,0.0,0
XLerant,|Software|, Software ,5838572.0,operating,USA,Stamford,5.0,2004-01-01,2008-01-10,2014-03-25,4650000.0,325000.0,0.0,3,0.0,15.579996975631184,1.791759469228055,0.0,15.35237799261728,12.691583538230217,0.0,1
Xlumena,|Health Care|, Health Care ,46922681.0,operating,USA,Mountain View,5.0,2008-01-01,2010-05-17,2013-12-03,34999999.0,11922682.0,0.0,3,0.0,17.664011741241232,1.791759469228055,0.0,17.37085861945369,16.293953278166516,0.0,1
XLV Diagnostics,|Electronics|, Electronics ,3000000.0,operating,CAN,Thunder Bay,1.0,,2014-05-28,2014-05-28,3000000.0,0.0,0.0,1,0.0,14.914123179965662,0.6931471805599453,0.0,14.914123179965662,0.0,0.0,0
XM Radio,|News|, News ,200000000.0,acquired,,,1.0,,2002-12-01,2002-12-01,0.0,200000000.0,0.0,0,0.0,19.11382792951231,0.6931471805599453,0.0,0.0,19.11382792951231,0.0,1
XMarket,|Classifieds|Marketplaces|Real Estate|, Marketplaces ,850000.0,operating,,,1.0,2014-07-01,2014-07-15,2014-07-15,0.0,0.0,0.0,0,850000.0,13.652992804936396,0.6931471805599453,13.652992804936396,0.0,0.0,0.0,0
xMatters,|Business Services|Enterprise Software|, Business Services ,7500000.0,operating,USA,San Ramon,2.0,2000-01-01,2007-08-21,2007-08-21,4500000.0,3000000.0,0.0,3,0.0,15.830413711839864,1.0986122886681098,0.0,15.319588176962746,14.914123179965662,0.0,1
Xmetrics,|Real Time|Audio|Swimming|Technology|Sports|, Sports ,1000000.0,operating,ITA,,1.0,2014-06-10,2014-10-16,2014-10-16,0.0,0.0,0.0,0,1000000.0,13.815511557963774,0.6931471805599453,13.815511557963774,0.0,0.0,0.0,0
XMLAW,|Web Development|Legal|, Legal ,150000.0,closed,USA,Boston,1.0,2003-10-01,2003-10-01,2003-10-01,0.0,0.0,0.0,0,150000.0,11.918397239722838,0.6931471805599453,11.918397239722838,0.0,0.0,0.0,0
XMOS,|Semiconductors|, Semiconductors ,57390000.0,operating,GBR,Bristol,4.0,2005-01-01,2006-09-19,2014-07-21,57390000.0,0.0,0.0,4,0.0,17.865380647509184,1.6094379124341003,0.0,17.865380647509184,0.0,0.0,3
XMPie,|Software|, Software ,9000000.0,acquired,USA,New York,3.0,2000-01-01,2001-06-01,2006-08-01,5000000.0,4000000.0,0.0,2,0.0,16.012735246411598,1.3862943611198906,0.0,15.424948670398354,15.201805169084134,0.0,1
Xmybox,|E-Commerce|, E-Commerce ,23572551.0,operating,,,1.0,2009-01-01,2012-06-01,2012-06-01,23572551.0,0.0,0.0,0,0.0,16.97559354227987,0.6931471805599453,0.0,16.97559354227987,0.0,0.0,0
XO Communications,|Web Hosting|, Web Hosting ,50000000.0,operating,USA,Herndon,1.0,1994-01-01,2010-10-08,2010-10-08,0.0,0.0,50000000.0,0,0.0,17.72753358339242,0.6931471805599453,0.0,0.0,0.0,17.72753358339242,2
XO Group,|Media|Weddings|Social Media|, Media ,19600000.0,operating,USA,New York,3.0,1996-01-01,1996-01-01,1999-04-15,19600000.0,0.0,0.0,3,0.0,16.791040175221152,1.3862943611198906,0.0,16.791040175221152,0.0,0.0,3
XO1,|Biotechnology|, Biotechnology ,11000000.0,operating,GBR,Hatfield,1.0,2013-04-01,2013-06-17,2013-06-17,11000000.0,0.0,0.0,1,0.0,16.213405921671733,0.6931471805599453,0.0,16.213405921671733,0.0,0.0,0
Xobni,|Software|, Software ,41752000.0,acquired,USA,San Francisco,8.0,2006-03-01,2006-06-01,2012-02-27,41660000.0,0.0,0.0,4,92000.0,17.547257936256333,2.1972245773362196,11.429554725537322,17.54505201780094,0.0,0.0,3
Xockets,|Big Data Analytics|, Big Data Analytics ,28000.0,operating,USA,San Francisco,1.0,2012-01-01,2012-07-01,2012-07-01,0.0,0.0,0.0,0,28000.0,10.239995502805316,0.6931471805599453,10.239995502805316,0.0,0.0,0.0,0
